Date,Open,High,Low,Close,Adj Close,Volume,LOG_ADJ_CLOSE,zScore,mean,stdev,LB,UB,UpperEntryZscore,LowerEntryZscore,long_entry,long_exit,num_units_long,short_entry,short_exit,num_units_short,stance,pct_rets,syst_rets,syst_cum_rets,market_cum_rets,profits,losses,Det_Adj_Close,Det_pct_rets,Det_syst_rets
2000-01-03,148.25,148.25,143.875,145.4375,93.29019165039062,8164300,4.535714975321608,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,,,1.0,,0.0,0.0,123.8331995432038,,
2000-01-04,143.53125,144.0625,139.640625,139.75,89.6419448852539,8089800,4.495823345320003,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.039106434455711,-0.0,1.0,0.960893565544289,-0.0,0.0,120.15246257908677,-0.02972334541701694,-0.0
2000-01-05,139.9375,141.53125,137.25,140.0,89.80233764648438,12177900,4.49761100666738,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.0017892601664966034,0.0,1.0,0.9626128541253602,0.0,0.0,120.28036514133693,0.0010645022124783198,0.0
2000-01-06,139.625,141.5,137.75,137.75,88.35906219482422,6227200,4.481408765037289,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.016071691333267406,-0.0,1.0,0.9471420374604219,-0.0,0.0,118.80459949069646,-0.012269381198721436,-0.0
2000-01-07,140.3125,145.75,140.0625,145.75,93.49063110351562,8066500,4.537861229172639,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.05807631703216511,0.0,1.0,1.0021485587024643,0.0,0.0,123.90367820040755,0.04291987626380072,0.0
2000-01-10,146.25,146.90625,145.03125,146.25,93.81134033203124,5741700,4.541285747766643,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.003430388956948124,0.0,1.0,1.0055863180514586,0.0,0.0,124.19189722994285,0.002326153942493294,0.0
2000-01-11,145.8125,146.09375,143.5,144.5,92.68880462646484,7503700,4.529247695337485,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.011965884951577757,-0.0,1.0,0.9935535878607741,-0.0,0.0,123.03687132539615,-0.009300332230275534,-0.0
2000-01-12,144.59375,144.59375,142.875,143.0625,91.76673126220705,6907700,4.519249827390924,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.00994805540942886,-0.0,1.0,0.9836696617164982,-0.0,0.0,122.08230776215805,-0.0077583536784965705,-0.0
2000-01-13,144.46875,145.75,143.28125,145.0,93.00953674316406,5158300,4.5327020335212325,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.01354309414602469,0.0,1.0,0.9969915925537128,0.0,0.0,123.29262304413476,0.009913928595899847,0.0
2000-01-14,146.53125,147.46875,145.96875,146.96875,94.27242279052734,7437300,4.546188705624399,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.013578027496799674,0.0,1.0,1.0105287718114853,0.0,0.0,124.52301889251771,0.009979476614286265,0.0
2000-01-18,145.34375,146.625,145.1875,145.8125,93.5307388305664,6488500,4.538290139811886,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.007867454108068847,-0.0,1.0,1.0025784830743751,-0.0,0.0,123.74884473357648,-0.006217116849772696,-0.0
2000-01-19,145.3125,147.0,145.0,147.0,94.29244232177734,6157900,4.546401041377544,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.008143884039992296,0.0,1.0,1.0107433659815244,0.0,0.0,124.47805802580709,0.00589268767559456,0.0
2000-01-20,146.96875,146.96875,143.8125,144.75,92.84917449951172,5800100,4.5309763970700345,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.015306293767854761,-0.0,1.0,0.9952726310979009,-0.0,0.0,123.00230000456116,-0.01185556751648524,-0.0
2000-01-21,145.5,145.5,144.0625,144.4375,92.6487274169922,6244800,4.528815217256489,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.0021588461459134583,-0.0,1.0,0.993123990614122,-0.0,0.0,122.76936272306133,-0.001893763624673617,-0.0
2000-01-24,145.65625,145.84375,139.40625,140.34375,90.02283477783203,7896900,4.50006335790254,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.028342457714951513,-0.0,1.0,0.9649764159044374,-0.0,0.0,120.11097988492085,-0.0216534710222221,-0.0
2000-01-25,140.515625,141.9375,139.0,141.9375,91.0451202392578,9942500,4.511355210440388,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.011355846146687918,0.0,1.0,0.9759345396186304,0.0,0.0,121.1007751473663,0.008240672612893378,0.0
2000-01-26,141.0,141.546875,140.09375,140.8125,90.32347106933594,5158100,4.503397349897204,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.007926280596098246,-0.0,1.0,0.9681990086141892,-0.0,0.0,120.34663577846413,-0.006227370287138696,-0.0
2000-01-27,141.84375,142.21875,138.125,140.25,89.96272277832031,10922700,4.499395393177338,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.003993959562722076,-0.0,1.0,0.9643320609251165,-0.0,0.0,119.95339728846818,-0.0032675486726511473,-0.0
2000-01-28,139.4375,140.0625,135.53125,135.875,87.1563491821289,11916200,4.4677036228077975,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,-0.03119484948345406,-0.0,1.0,0.9342498674324884,-0.0,0.0,117.11453349329648,-0.023666389275700996,-0.0
2000-01-31,135.8125,139.671875,135.0,139.5625,89.52169799804688,10768700,4.494481031630384,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.027139145204156567,0.0,1.0,0.9596046102417026,0.0,0.0,119.44739211023412,0.01991946300218301,0.0
2000-02-01,139.75,141.6875,138.53125,140.9375,90.40367889404295,8419900,4.504284962300646,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.009852146638408513,0.0,1.0,0.9690587755766967,0.0,0.0,120.2968828072499,0.007111839630887998,0.0
2000-02-02,141.28125,142.25,140.375,141.0625,90.4838409423828,6205900,4.505171281640532,,,,,,0.5,-0.5,False,False,0.0,False,False,0.0,0.0,0.0008867122369411222,0.0,1.0,0.9699180518513157,0.0,0.0,120.34455465660943,0.0003962849929861887,0.0
