,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__num__smoother__kw_args,param_logistic__penalty,param_logistic__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03387041091918945,0.010876277949221781,0.003622007369995117,0.00022932429065864972,{'span': 13},l2,6.158482110660267,"{'preprocessor__num__smoother__kw_args': {'span': 13}, 'logistic__penalty': 'l2', 'logistic__C': 6.158482110660267}",0.5234093637454982,0.521608643457383,0.5312124849939976,0.5210084033613446,0.5210084033613446,0.5236494597839136,0.003882583824440875,5,0.5688622754491018,0.552158273381295,0.5465813674530188,0.5460407918416317,0.5381569474442045,0.5503599311138505,0.010270502408787142
1,0.16242294311523436,0.11971780399109674,0.003987550735473633,0.000839238112609801,{'span': 16},l1,0.4832930238571757,"{'preprocessor__num__smoother__kw_args': {'span': 16}, 'logistic__penalty': 'l1', 'logistic__C': 0.4832930238571757}",0.5096038415366146,0.5204081632653061,0.5306122448979592,0.5192076830732293,0.5234093637454982,0.5206482593037215,0.006797305002109045,7,0.5461077844311377,0.5371702637889688,0.5367852858856458,0.5401919616076785,0.535037197024238,0.5390584985475337,0.003895663286999326
2,0.009253120422363282,0.002024393033840477,0.003193378448486328,0.00010295697165221952,{'span': 10},l1,0.0005455594781168526,"{'preprocessor__num__smoother__kw_args': {'span': 10}, 'logistic__penalty': 'l1', 'logistic__C': 0.0005455594781168526}",0.521608643457383,0.5036014405762305,0.5438175270108043,0.5156062424969988,0.5090036014405762,0.5187274909963986,0.013934881185786396,9,0.5149700598802395,0.5182853717026379,0.5133946421431428,0.520995800839832,0.5199184065274778,0.517512856218666,0.0028961994436109803
3,0.4177578926086426,0.32464333889573,0.0038190364837646486,0.00040674154811522607,{'span': 7},l1,1.1288378916846895,"{'preprocessor__num__smoother__kw_args': {'span': 7}, 'logistic__penalty': 'l1', 'logistic__C': 1.1288378916846895}",0.5234093637454982,0.5234093637454982,0.5342136854741897,0.5222088835534213,0.5204081632653061,0.5247298919567827,0.004867499383604637,3,0.5664670658682635,0.5536570743405276,0.5423830467812875,0.5428914217156569,0.5382769378449724,0.5487351093101416,0.010222707631608657
4,0.03435201644897461,0.013856632449041052,0.003256082534790039,4.3934534741365245e-05,{'span': 13},l2,428.13323987193957,"{'preprocessor__num__smoother__kw_args': {'span': 13}, 'logistic__penalty': 'l2', 'logistic__C': 428.13323987193957}",0.5180072028811524,0.517406962785114,0.5306122448979592,0.521608643457383,0.5282112845138055,0.5231692677070828,0.0053498871440953825,6,0.562874251497006,0.5560551558752997,0.5503798480607757,0.5467906418716256,0.541036717062635,0.5514273228734685,0.0075234263007941185
5,0.8633095741271972,0.5974639393592959,0.0036239147186279295,0.00027633856633703087,{'span': 9},l1,2.636650898730358,"{'preprocessor__num__smoother__kw_args': {'span': 9}, 'logistic__penalty': 'l1', 'logistic__C': 2.636650898730358}",0.5312124849939976,0.5228091236494598,0.531812725090036,0.521608643457383,0.5186074429771909,0.5252100840336135,0.005328293162346253,2,0.5706586826347305,0.559052757793765,0.5479808076769292,0.5451409718056389,0.5383969282457404,0.5522460296313608,0.01136511252136094
6,0.033406400680541994,0.013476396124606327,0.0035507678985595703,0.0003384012225080329,{'span': 7},l2,33.59818286283783,"{'preprocessor__num__smoother__kw_args': {'span': 7}, 'logistic__penalty': 'l2', 'logistic__C': 33.59818286283783}",0.5198079231692677,0.5240096038415366,0.5336134453781513,0.5204081632653061,0.5294117647058824,0.5254501800720288,0.005322880978966466,1,0.5592814371257485,0.5572541966426858,0.552578968412635,0.5458908218356329,0.53899688024958,0.5508004608532564,0.007485583793719226
7,0.01286468505859375,0.003993687934950241,0.0038675785064697264,0.0012868177382112653,{'span': 17},l1,0.037926901907322536,"{'preprocessor__num__smoother__kw_args': {'span': 17}, 'logistic__penalty': 'l1', 'logistic__C': 0.037926901907322536}",0.521608643457383,0.5090036014405762,0.5294117647058824,0.5180072028811524,0.521608643457383,0.5199279711884754,0.006612455872230704,8,0.5149700598802395,0.512589928057554,0.5105957616953218,0.5185962807438512,0.5220782337413007,0.5157660528236534,0.004130547219555219
8,0.023094320297241212,0.00853655665445373,0.0032394886016845702,9.499915062064038e-05,{'span': 12},l2,0.20691380811147903,"{'preprocessor__num__smoother__kw_args': {'span': 12}, 'logistic__penalty': 'l2', 'logistic__C': 0.20691380811147903}",0.5036014405762305,0.5252100840336135,0.539015606242497,0.5324129651860744,0.5234093637454982,0.5247298919567827,0.011928931920566311,3,0.5508982035928144,0.5425659472422062,0.5421831267493002,0.5421415716856629,0.5374370050395968,0.5430451708619162,0.004356854685763552
9,0.010724878311157227,0.0027448713443899665,0.003128242492675781,4.1077632329271206e-05,{'span': 12},l1,0.0069519279617756054,"{'preprocessor__num__smoother__kw_args': {'span': 12}, 'logistic__penalty': 'l1', 'logistic__C': 0.0069519279617756054}",0.521608643457383,0.5036014405762305,0.5438175270108043,0.5156062424969988,0.5090036014405762,0.5187274909963986,0.013934881185786396,9,0.5149700598802395,0.5182853717026379,0.5133946421431428,0.520995800839832,0.5199184065274778,0.517512856218666,0.0028961994436109803
