,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logistic__penalty,param_logistic__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.560878038406372,2.5088139381934966,0.34457149505615237,0.034427605571687045,l2,0.01623776739188724,"{'logistic__penalty': 'l2', 'logistic__C': 0.01623776739188724}",0.04594681159170055,0.0,0.0,0.0,0.06746911383688066,0.02268318508571624,0.02860264459525689,3,0.07239346795426724,0.06538606555953876,0.07395461857065011,0.07360427542129307,0.0768119237719051,0.07243007025553086,0.0038084901853887845
1,2.51060004234314,0.325569792521509,0.3486962795257568,0.026924949054751884,l2,33.59818286283783,"{'logistic__penalty': 'l2', 'logistic__C': 33.59818286283783}",0.05135588478621707,0.0,0.0,0.0,0.05786940070475786,0.021845057098194988,0.02683379153972109,4,0.07222587181960492,0.05667081951155636,0.07235125174411236,0.07714997939844075,0.07885327473071913,0.0714502394408867,0.00783755892215439
2,2.221451187133789,0.050506923550466286,0.3539597988128662,0.053574485381042806,l1,2.636650898730358,"{'logistic__penalty': 'l1', 'logistic__C': 2.636650898730358}",0.053649686871059234,0.0,0.0,0.0,0.059772930030451386,0.022684523380302125,0.02785014923058968,2,0.07451612835402466,0.05562541855615216,0.07133467127999178,0.07716978232830476,0.08303032029746121,0.0723352641631869,0.009194923453208848
3,2.271907901763916,0.04635307781480571,0.3467280864715576,0.034209657839902076,l1,1000.0,"{'logistic__penalty': 'l1', 'logistic__C': 1000.0}",0.05135588478621707,0.0,0.0,0.0,0.05786940070475786,0.021845057098194988,0.02683379153972109,4,0.07222587181960492,0.05667081951155636,0.0723299184675339,0.07714997939844075,0.07885327473071913,0.07144597278557101,0.007837073054257316
4,2.3053083419799805,0.08807016117436253,0.32247586250305177,0.024979996684023693,l1,428.13323987193957,"{'logistic__penalty': 'l1', 'logistic__C': 428.13323987193957}",0.05135588478621707,0.0,0.0,0.0,0.05786940070475786,0.021845057098194988,0.02683379153972109,4,0.07175541503172997,0.05667081951155636,0.07235125174411236,0.07612711286854483,0.07885327473071913,0.07115157477733253,0.007688540595117603
5,2.1779025554656983,0.05666578852508076,0.018546915054321288,0.0017771573151818033,l1,0.002976351441631319,"{'logistic__penalty': 'l1', 'logistic__C': 0.002976351441631319}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.5419567108154295,0.5641515769060116,0.3287698745727539,0.024143947485546335,l2,6.158482110660267,"{'logistic__penalty': 'l2', 'logistic__C': 6.158482110660267}",0.05135588478621707,0.0,0.0,0.0,0.05786940070475786,0.021845057098194988,0.02683379153972109,4,0.07222587181960492,0.05714943422298866,0.07235125174411236,0.07714997939844075,0.07885327473071913,0.07154596238317316,0.007657318216132623
7,2.248641014099121,0.09272863982681777,0.02003202438354492,0.004080042535306204,l1,0.0002335721469090126,"{'logistic__penalty': 'l1', 'logistic__C': 0.0002335721469090126}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.3546868801116942,0.142771661263625,0.3284449577331543,0.016796107300161615,l2,1.1288378916846895,"{'logistic__penalty': 'l2', 'logistic__C': 1.1288378916846895}",0.05135588478621707,0.0,0.0,0.0,0.05786940070475786,0.021845057098194988,0.02683379153972109,4,0.07220998366097132,0.056646482838412344,0.07095006063529506,0.07663520680594046,0.07978328769336257,0.07124500432679635,0.00795099455612068
9,2.4500274658203125,0.3274208425465028,0.33587088584899905,0.029736722336016642,l2,0.0002335721469090126,"{'logistic__penalty': 'l2', 'logistic__C': 0.0002335721469090126}",0.03178937915825737,0.013723742438657647,0.10409403899685457,0.047464827530019425,0.07611628420541022,0.05463765446583986,0.03210827567627844,1,0.07747696428601528,0.05218592662505291,0.07839601573544366,0.05536982325267615,0.07003877210861745,0.0666935004015611,0.010982879060921347
