,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_talib__rsiadx__kw_args,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9625626564025879,0.9263580626257427,0.024681997299194337,0.00804792627569258,{'timeperiod': 5},517.9474679231213,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 517.9474679231213}",0.4015832276169182,0.3829028358641327,0.3784672548297854,0.35219745973375144,0.369781111448613,0.3769863778986401,0.01617781700853135,1,0.43255249857202654,0.4169844200542527,0.39045893022259465,0.3906791112869817,0.39492737147889717,0.4051204663229505,0.016856348062671424
1,0.8831603050231933,0.9139772329197936,0.019223117828369142,0.0004557360905539247,{'timeperiod': 5},719.6856730011522,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 719.6856730011522}",0.40056745749997286,0.3825101469736176,0.3776827879109681,0.351889070740427,0.368640196072845,0.37625793183956613,0.016024635635304565,3,0.4333671916583151,0.41679105465514366,0.3896832747096697,0.39067455696311404,0.39466236179058556,0.40503568795536554,0.017265035881113198
2,0.08665699958801269,0.03801285023945912,0.020220136642456053,0.0005302082623331866,{'timeperiod': 15},0.005179474679231213,"{'talib__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.005179474679231213}",0.3647912553364028,0.3905236834673031,0.3303055178307193,0.30580295312760913,0.388302253054369,0.35594513256328064,0.03314375150584884,8,0.4287622058406751,0.4220367132684702,0.38513094314074164,0.3801352086033359,0.3869195812305175,0.4005969304167481,0.020483631178029975
3,1.0398363590240478,0.9309236697972965,0.01943492889404297,0.0004577044359266026,{'timeperiod': 5},268.2695795279727,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 268.2695795279727}",0.4008692316667776,0.3810219794168172,0.37861297595468635,0.3513692813502886,0.36966083222492135,0.37630686012269826,0.01610536021271107,2,0.43301266487790446,0.41738627643341997,0.3913048758160121,0.39128393153267876,0.39540917909065715,0.4056793855501345,0.016754057539285234
4,2.0213943481445313,1.486867631310976,0.01932249069213867,0.0006723993796317073,{'timeperiod': 5},71.96856730011521,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 71.96856730011521}",0.3978052035879667,0.3813899828937423,0.37706631318102385,0.3477401000529152,0.36829196173731943,0.3744587122905935,0.01644271147207716,5,0.4327539977029773,0.41595197138053114,0.3894812182729468,0.39103744681081426,0.3942403708563879,0.4046930010047315,0.016978303336094513
5,0.07228608131408691,0.03136342580348609,0.01966438293457031,0.00048726256845844755,{'timeperiod': 5},0.0007196856730011528,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.0007196856730011528}",0.35340221172473557,0.39021054917144055,0.3226737884050351,0.3084090569378523,0.3818436199920772,0.35130784524622816,0.03197015962575034,9,0.42783930516050633,0.4119508990332113,0.3813578627858621,0.37412985670517623,0.3892105457529373,0.3968976938875387,0.020014671120953502
6,2.226254415512085,1.5900347926954161,0.020060348510742187,0.002695330421556188,{'timeperiod': 10},71.96856730011521,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 71.96856730011521}",0.3974805741251514,0.3783292231915571,0.3712725686482956,0.35220614889935736,0.37885698663946804,0.3756291003007659,0.014579511943343521,4,0.43005161751468995,0.41599528057941565,0.3934873635754026,0.3912077889765106,0.3940993845090948,0.4049682870310227,0.015427663510735384
7,0.09233551025390625,0.04106982239866518,0.019772911071777345,0.0005422530776034316,{'timeperiod': 5},0.007196856730011528,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.007196856730011528}",0.36728216788615087,0.3996129567918256,0.3353145180174124,0.3069484012664833,0.3851718395326047,0.3588659766988954,0.0336845748823577,7,0.4369408184432045,0.4174396867749372,0.38312826563403,0.38220239785171933,0.3883101778191845,0.40160426930461507,0.02188131781870776
8,0.0736649513244629,0.032390820740750885,0.02064032554626465,0.0022686694877419892,{'timeperiod': 15},0.001,"{'talib__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.001}",0.3545780586110636,0.3845507660958791,0.32153336520290393,0.3028638829576532,0.3842800689933232,0.34956122837216463,0.0329273060314371,10,0.42532838731504663,0.4084140591649341,0.3809950570466511,0.374247708124208,0.3873495051406777,0.3952669433583035,0.01889295044955266
9,1.271429967880249,0.7158450635495561,0.019959402084350587,0.0023637339513309665,{'timeperiod': 5},7.196856730011521,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 7.196856730011521}",0.39635359741604,0.38099637805466485,0.3711504906592263,0.3488714313671617,0.3684231216815747,0.3731590038357335,0.015593347859761061,6,0.4359699361928411,0.41630604347771644,0.39018753528876365,0.3925463145666383,0.39429226597795175,0.4058604191007822,0.017733701933580506
