,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.09682564735412598,0.17016736786375475,0.002598857879638672,0.0031982183967407983,1.2742749857031322e-06,{'ridge__alpha': 1.2742749857031322e-06},1.1453711903437032,1.000491180405617,1.1451509398662507,1.098189196002564,1.1077451300341163,1.0993895273304504,0.053029350603300766,3,1.2603195235118787,1.2943242489001987,1.3172283822261706,1.2924933371808023,1.292833968197818,1.2914398920033734,0.018137785272208676
1,0.011393547058105469,0.0004893954238710001,0.001598691940307617,0.0004896685006367906,0.07847599703514607,{'ridge__alpha': 0.07847599703514607},1.2145253313193975,0.984934380758602,1.0859452301318884,0.9534415935903571,1.172474747983863,1.0822642567568217,0.1016984340528295,9,1.2282399467198297,1.2595071291465334,1.2398107268169754,1.213157998916732,1.26641916245976,1.2414269928119661,0.019632352838272478
2,0.011193275451660156,0.0003994703399569408,0.0015990734100341797,0.0004893952844906361,1.623776739188721e-05,{'ridge__alpha': 1.623776739188721e-05},1.1453711903437032,1.0027072162394959,1.1451509398662507,1.098189196002564,1.1077451300341163,1.099832734497226,0.052203762733157376,1,1.261201279613754,1.2945459973010724,1.3163930226591387,1.2932659952696688,1.289268831459027,1.290935025260532,0.017626423368227555
3,0.011792373657226563,0.0004000426013688889,0.0013995170593261719,0.0004892979408414263,0.0004832930238571752,{'ridge__alpha': 0.0004832930238571752},1.1540645129833176,0.9926271279400741,1.137000446754218,1.0756153574361844,1.1234137600794996,1.0965442410386586,0.058144719248721485,7,1.2540847366881356,1.305342173433233,1.313963662447564,1.292476420278448,1.2880998853039332,1.2907933756302628,0.020523846672185923
4,0.011393308639526367,0.0004890067933152179,0.0011995315551757812,0.00039873140276230266,5.455594781168515e-07,{'ridge__alpha': 5.455594781168515e-07},1.1453711903437032,1.000491180405617,1.1451509398662507,1.098189196002564,1.1077451300341163,1.0993895273304504,0.053029350603300766,3,1.2603195235118787,1.2943242489001987,1.3172283822261706,1.2924933371808023,1.292833968197818,1.2914398920033734,0.018137785272208676
5,0.011992740631103515,1.784161275279017e-07,0.001199483871459961,0.00039958956702512217,0.01438449888287663,{'ridge__alpha': 0.01438449888287663},1.2189900824441677,0.9521979182876339,1.0909565433901072,0.9968812889704817,1.1595697206703484,1.0837191107525477,0.098936911815285,8,1.2507531082738808,1.2814667707527407,1.3022137017020239,1.2582796637902902,1.2825109064957643,1.27504483020294,0.01847316839793195
6,0.012592697143554687,0.000799608493620398,0.0009994029998779297,6.641573084442196e-07,2.976351441631319e-06,{'ridge__alpha': 2.976351441631319e-06},1.1453711903437032,1.0027072162394959,1.1451509398662507,1.098189196002564,1.1077451300341163,1.099832734497226,0.052203762733157376,1,1.2603195235118787,1.2943242489001987,1.3168991420083722,1.2924933371808023,1.292833968197818,1.2913740439598138,0.018044399551801517
7,0.012192487716674805,0.000979374526357437,0.00159912109375,0.0004891422297314887,0.18329807108324336,{'ridge__alpha': 0.18329807108324336},1.1865001273173785,0.9450130203436647,1.0780848351740806,0.8718517334671829,1.1946298105132294,1.0552159053631072,0.12881138710201934,10,1.2406978355331988,1.270077004286617,1.2309252385271083,1.1792565922468599,1.2440807011263295,1.233007474344023,0.029830860158492303
8,0.011992883682250977,3.5040231839893024e-07,0.0011992454528808594,0.00039970912828094554,3.792690190732254e-05,{'ridge__alpha': 3.792690190732254e-05},1.1464595679308174,0.9988251484612143,1.143416413256362,1.0979661373466847,1.1077451300341163,1.098882479405839,0.053549428290891814,6,1.2599943905004292,1.2915218711704322,1.3175490280948223,1.2922989382663113,1.2911884769435054,1.2905105409951,0.01825922219772027
9,0.012192678451538087,0.0003996137040417273,0.0013993263244628906,0.0004894537371328972,2.3357214690901212e-07,{'ridge__alpha': 2.3357214690901212e-07},1.1453711903437032,1.000491180405617,1.1451509398662507,1.098189196002564,1.1077451300341163,1.0993895273304504,0.053029350603300766,3,1.2603195235118787,1.2943242489001987,1.3172283822261706,1.2924933371808023,1.292833968197818,1.2914398920033734,0.018137785272208676
