,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.03955683708190918,0.009632028266111096,0.006296396255493164,0.001660403699032244,0.00121152765862859,{'ridge__alpha': 0.00121152765862859},0.0851290849188029,0.023128785936182207,0.04846047032204727,0.05562569315968712,0.055724235481112105,0.05361365396356632,0.01978690336891279,6,0.098125134062156,0.11009638343503982,0.1087600865673887,0.1061665301659662,0.1141736294907132,0.10746435274425278,0.0053390309082265806
1,0.05402379035949707,0.0193659544643736,0.008451461791992188,0.00287749256047655,0.000618965818891261,{'ridge__alpha': 0.000618965818891261},0.08543718557573396,0.024113818918796527,0.049311492653421406,0.05590014883262059,0.05364905723306318,0.05368234064272713,0.019527886453766578,5,0.09831078797201423,0.11012021528224442,0.10881799000001612,0.10604238103558951,0.1141648100433014,0.10749123686663313,0.005283714705714083
2,0.0329317569732666,0.005180094201976526,0.005024766921997071,0.0012366555947296584,0.00908517575651688,{'ridge__alpha': 0.00908517575651688},0.08073868299628909,0.016786349552600048,0.0446304577009815,0.04879671968160391,0.07005486888871859,0.052201415764038625,0.02216420395920826,7,0.09604541266382588,0.10878478439661377,0.10645197482046924,0.10580755964187757,0.11081862456006722,0.10558167121657074,0.0050879130396375705
3,0.03484001159667969,0.00970146089513112,0.006224393844604492,0.0013222308089607291,7.498942093324558e-07,{'ridge__alpha': 7.498942093324558e-07},0.0858612129627969,0.02521279052063181,0.05036223110067104,0.05660381082657091,0.05126131996245805,0.05386027307462574,0.01934557450547734,2,0.09848556243822514,0.11018010639507951,0.10880518698960619,0.10593378433957772,0.11397017178276164,0.10747496238905004,0.005185741758042092
4,0.02951502799987793,0.001978294770308112,0.004505825042724609,0.0004559980904228901,0.1333521432163324,{'ridge__alpha': 0.1333521432163324},0.06540681322721426,-0.001359309515259167,0.046788220512254564,0.02667443233081255,0.08032305175968597,0.04356664166294163,0.028782262499066343,10,0.08494676028809722,0.09827994420467466,0.09261353203999957,0.09524635057952567,0.09064162029947583,0.09234564148235459,0.004502198541509618
5,0.027174663543701173,0.001325159987099804,0.004378795623779297,0.0002977376332422194,8.25404185268019e-05,{'ridge__alpha': 8.25404185268019e-05},0.08582631711420366,0.025069556292242754,0.05020783652168318,0.0565331728242812,0.05138854048921111,0.053805084648324376,0.019376853528839073,4,0.0984272220240174,0.1101725224942846,0.10879444912755114,0.10595037933893746,0.11399079296682683,0.10746707319032349,0.00520883042314056
6,0.029463529586791992,0.003909713336812078,0.005074787139892578,0.0015354297204883357,0.01778279410038923,{'ridge__alpha': 0.01778279410038923},0.07772937319778901,0.013029801939564966,0.04448579823731768,0.04400957694887331,0.07506104904187437,0.05086311987308386,0.02377535098156813,8,0.09422193624895725,0.1072282907892571,0.10444079768688072,0.10457865451779703,0.10717464134029452,0.10352886411663734,0.004806870880889813
7,0.037163591384887694,0.005128100303136812,0.0070607662200927734,0.0030882982394095297,0.034807005884284134,{'ridge__alpha': 0.034807005884284134},0.07369234518184697,0.00813146433433601,0.0451970496629388,0.038150485299962775,0.07874866980339146,0.0487840028564952,0.025678292777242075,9,0.09163819359907237,0.10463146870256083,0.10133600964781184,0.10216861004512096,0.10219682049143543,0.10039422049720029,0.0045145779693292944
8,0.02884984016418457,0.002182554291150878,0.004517793655395508,0.0002596028228149236,1.4677992676220705e-06,{'ridge__alpha': 1.4677992676220705e-06},0.08587082758436584,0.02522210421429923,0.050364525377849495,0.056602060307928005,0.05126527924441205,0.05386495934577092,0.019345758439818245,1,0.09848607460064904,0.11017845318322299,0.10880449247781086,0.10593401417169723,0.11397006355811434,0.10747461959829889,0.005185315350506248
9,0.028806638717651368,0.004382133235869126,0.004237222671508789,5.329439779640295e-05,3.831186849557285e-07,{'ridge__alpha': 3.831186849557285e-07},0.08585062930377832,0.025213865292980454,0.05036193784719711,0.05660932338527927,0.051259267195890884,0.053859004605025206,0.01934197725658108,3,0.09848426244989805,0.11018084508565001,0.10880602594916723,0.10593621054971418,0.11396907445397983,0.10747528369768186,0.005185893654587
