,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_talib__rsiadx__kw_args,param_smoother__waveletsmoother__kw_args,param_rfc__n_estimators,param_extractor__pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6742120742797851,0.040882733317285896,0.059867238998413085,0.0008890169241257647,{'timeperiod': 5},{'scale': 0.1},200,3,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 200, 'extractor__pca__n_components': 3}",0.4406697688318424,0.42005123302556596,0.4219694901595723,0.36741460442288515,0.3675040907996043,0.403521837447894,0.030313416056865203,4
1,0.6107532978057861,0.037699573122002034,0.059322786331176755,0.0015571855448116446,{'timeperiod': 5},{'scale': 0.1},200,2,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 200, 'extractor__pca__n_components': 2}",0.418635195721665,0.40275641740876456,0.39620774936771946,0.3721106950064164,0.36672311597583773,0.3912866346960806,0.01936388488996502,8
2,0.5970272541046142,0.040877490765973835,0.05808701515197754,0.0018367432331781537,{'timeperiod': 10},{'scale': 0.1},200,2,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 200, 'extractor__pca__n_components': 2}",0.41028154591372984,0.4174014061374605,0.3841274822530691,0.36672088501455863,0.3572045688865495,0.38714717764107354,0.023551769135304178,10
3,0.3262593746185303,0.015902997791089682,0.04332413673400879,0.0015739613851386775,{'timeperiod': 5},{'scale': 0.1},100,2,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 100, 'extractor__pca__n_components': 2}",0.410992556562908,0.4090598609835414,0.40092359923668575,0.3683308123456557,0.3676051574071409,0.3913823973071863,0.019415552059244064,7
4,0.3512569904327393,0.025574262527402077,0.04261422157287598,0.001543254640605635,{'timeperiod': 10},{'scale': 0.1},100,3,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 100, 'extractor__pca__n_components': 3}",0.4425988842030044,0.4343072512685298,0.41454036268135575,0.3732924655345889,0.39018172383047967,0.41098413750359164,0.02611325001803271,3
5,0.3219449043273926,0.020408868769006435,0.041758155822753905,0.00034838293855645407,{'timeperiod': 10},{'scale': 0.2},100,2,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'smoother__waveletsmoother__kw_args': {'scale': 0.2}, 'rfc__n_estimators': 100, 'extractor__pca__n_components': 2}",0.4414750631472513,0.4118684300452524,0.411197549862039,0.37002357546873843,0.35677298819373177,0.3982675213434026,0.030784992394412673,6
6,0.3225707054138184,0.022524603131826113,0.041811656951904294,0.00018659603713927665,{'timeperiod': 10},{'scale': 0.1},100,2,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'smoother__waveletsmoother__kw_args': {'scale': 0.1}, 'rfc__n_estimators': 100, 'extractor__pca__n_components': 2}",0.41559248784031966,0.4233771170336609,0.38558103142935035,0.3595197346997944,0.3615290638788298,0.38911988697639105,0.026549208802821345,9
7,0.3468529224395752,0.022159959478284332,0.04234113693237305,0.001134948453440944,{'timeperiod': 5},{'scale': 0.2},100,3,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'smoother__waveletsmoother__kw_args': {'scale': 0.2}, 'rfc__n_estimators': 100, 'extractor__pca__n_components': 3}",0.46228172011290763,0.4630018407697702,0.4252213299278172,0.3938884418564632,0.38126154904859494,0.4251309763431107,0.033808315282308765,2
8,0.5999603748321534,0.03597113118006479,0.056785058975219724,0.00033992260500092137,{'timeperiod': 10},{'scale': 0.2},200,2,"{'talib__rsiadx__kw_args': {'timeperiod': 10}, 'smoother__waveletsmoother__kw_args': {'scale': 0.2}, 'rfc__n_estimators': 200, 'extractor__pca__n_components': 2}",0.4487028451329113,0.4161164195183777,0.4060423047621811,0.37132559057483205,0.3611824177746288,0.4006739155525862,0.03160687008805931,5
9,0.6496981620788574,0.04124993968312055,0.05766558647155762,0.00035465694463359293,{'timeperiod': 5},{'scale': 0.2},200,3,"{'talib__rsiadx__kw_args': {'timeperiod': 5}, 'smoother__waveletsmoother__kw_args': {'scale': 0.2}, 'rfc__n_estimators': 200, 'extractor__pca__n_components': 3}",0.4639648389648389,0.46087184153876365,0.4382458682025048,0.3882145143428353,0.3934080254602299,0.4289410177018345,0.03241625340195937,1
